surface.id,sentiment_overall
1000002531911699,pos
1000003751590409,pos
1000006487990979,pos
1000011152147594,pos
1000017525574596,neu
10000333853429190,neu
1000036278260278,pos
1000036674668917,pos
1000038161577683,neu
1000040888075869,pos
1000066528329254,neu
1000072128256196,neu
1000076495072308,neu
1000079228969549,neu
10000842116705445,neu
1000097315241203,neu
1000102998486006,neu
1000107027627013,pos
1000112874595827,neg
1000126207991185,neu
1000129701635848,pos
1000151208242851,pos
1000155661410618,pos
1000157931628596,pos
1000170311483912,pos
1000191434971834,pos
1000191974853568,pos
10001932039831331,neg
1000198415144901,pos
1000202544993950,neg
1000212761782121,neu
1000234261731974,neu
1000249424739242,pos
1000261201473289,pos
1000269001881032,neu
1000301484972650,pos
1000319465236678,pos
1000326781606889,pos
1000329461075901,pos
1000330544719101,pos
1000335762050600,pos
1000337261760364,pos
1000340915401127,neu
1000348711909391,neu
1000350728479689,neu
1000359255165215,neu
1000360101754636,pos
1000367408077169,pos
1000370801681947,neu
1000371011538343,neu
10003729959676287,neu
1000375481752784,pos
1000378074734122,neu
1000378138209323,neu
10003843499744380,neu
1000385938154362,neu
1000397724780493,pos
1000403218758969,neu
1000434235627059,pos
1000450131528434,pos
1000470481439907,pos
1000476121677154,pos
1000476965270471,pos
1000480005157419,pos
1000509242036092,pos
10005306316203416,pos
1000530711997727,pos
1000552088146674,pos
1000552691504472,pos
1000553301398148,neu
1000568545163450,pos
1000571408072445,pos
1000582808506306,pos
1000589204971008,pos
1000594871512599,pos
1000599877974090,neu
1000601518378996,pos
1000603081536227,pos
10006056242770860,pos
1000610967942523,neu
1000618428134473,pos
1000620225125403,pos
1000621681544740,pos
1000634608258876,pos
1000642288587562,neu
1000647151705430,pos
1000653981344413,pos
10006548516131555,pos
1000655884520182,pos
1000657698820950,neu
1000662575033984,neu
1000664828384384,pos
1000668998592369,pos
1000670284372861,neg
1000676694872353,neu
1000693531822190,pos
1000695444756190,pos
1000705111674062,neu
1000709738325036,neu
1000724658277167,neg
1000734455162163,neu
1000736631772877,pos
1000748488183760,pos
1000752484851327,pos
1000752905058961,pos
1000772634371913,pos
1000773421529692,pos
1000778878367174,neu
1000806588209430,pos
1000827821675769,pos
1000833001442064,pos
1000837562073301,pos
1000852305329136,pos
10008569655842963,pos
1000861418257349,pos
1000864471569868,pos
1000875971742936,pos
1000899518141863,neu
1000903001693074,pos
1000905101566583,neu
1000913204607840,pos
1000914674657721,neg
10009218585849508,pos
1000924271707761,pos
1000927025257128,neu
1000949344584641,pos
1000952788051127,pos
1000954682033487,neu
1000968604939495,neu
1000990495008814,pos
1000997265094837,neu
1001000068444450,neu
1001020818809176,neu
1001031544723761,pos
1001048441977976,neg
1001068901544887,pos
1001068925023763,neu
1001069902013732,neu
1001070318620556,neg
1001073941261258,neu
1001099008080527,pos
1001101378792994,pos
1001108078349343,neu
1001111108718569,pos
1001117335218929,neu
1001118115006055,neu
1001139688288473,neu
1001142611695290,pos
1001152475290669,pos
1001160641993780,pos
1001170858260237,pos
1001182631403625,pos
1001199635285387,pos
1001205561647235,neu
1001206248341844,neu
1001207275283377,pos
1001209394775386,pos
1001212914422022,pos
1001217364962647,pos
1001219844559666,pos
1001220364662765,pos
1001227971570536,neu
1001235237965611,pos
1001245284306757,neu
1001246371504644,neu
1001250874706856,pos
1001277808027106,neu
1001283674854142,neu
1001300111360968,pos
1001318774291693,neu
1001324591281513,pos
1001333261664400,neu
1001343648164296,neu
1001353361967130,pos
1001354911629545,neu
1001367804706663,pos
1001369835024173,pos
1001372041853163,pos
1001393658131293,pos
1001398567882747,pos
1001402778161092,pos
1001402941456589,pos
1001416908187785,neu
1001417704853404,pos
1001427771662448,pos
1001431298475907,pos
1001437265147267,pos
1001443975452006,pos
1001444505275428,neu
1001449192020950,pos
1001452291942268,pos
1001461801565014,pos
1001462735307803,neu
1001472208358979,neg
1001480771444055,pos
1001483231365499,pos
1001489018109463,pos
1001490168342386,neu
1001518178312771,pos
10015359218569455,neu
1001536254594335,pos
1001551094656234,pos
1001555118777356,pos
1001560288424968,pos
1001561838602537,pos
1001564338544031,neu
10015740931888648,neu
1001574711360971,neu
1001585335420464,neu
1001591645253557,pos
1001592727752118,pos
1001603061501990,neu
1001603731567364,pos
1001606334738008,neu
1001614428164639,neu
1001616201909303,pos
1001639581614203,neu
1001659458742129,pos
1001659845246326,neu
1001665992159210,pos
1001667364812047,pos
1001673594993304,pos
1001686504981352,pos
1001690258517172,neu
1001696211425938,neu
1001708071808999,neu
1001714294904117,neu
1001722694734507,neu
1001727538286767,pos
1001734061599237,pos
1001737615076244,pos
1001759194903931,pos
1001784747979723,pos
1001803531831595,pos
1001813108068855,pos
1001861311134612,pos
1001861731982812,neu
